DOI,Keywords
10.1111/jiec.12244,circular economy;energy transition;industrial ecology;material flow accounting;recycling;sustainable resource use
10.1111/jiec.12603,closed loop;industrial ecology;resourcelife extending strategies;resource efficiency;social embeddedness;umbrella concepts
10.1016/j.envdev.2015.09.002,environmental protection;sustainable development;circular economy;multipluriintertransdisciplinary research;sustainability science
10.1162/108819806775545321,
10.3390/su8111212,smes;circular economy;green economy;business model;resource efficiency;green innovation
10.1016/j.jclepro.2011.07.005,circular economy;ecoindustrial development;indicator system;ecoefficiency;china
10.1002/marc.202000415,circular economy;extrusion;mechanical recycling;packaging;plastics;polymers
10.1016/j.jclepro.2017.12.224,circular economy;ecoinnovation;systematic literature review;industrial ecology;paradigm shift
10.1039/c7gc01496a,
10.1016/j.jclepro.2017.09.053,bioeconomy;circular economy;green economy;sustainability;machine learning;latent dirichlet allocation
10.1016/j.jclepro.2018.04.159,circular business models;circular supply chain;sustainable business models;sustainable development;circular economy;business model innovation
10.1016/j.ecolecon.2017.08.001,circular economy;ecoinnovation;barriers;drivers;survey
10.1016/j.rser.2015.06.010,recycling;weee;economic assessment;ewaste streams
10.1016/j.resconrec.2017.09.029,construction and demolition waste;china;management;circular economy
10.1016/j.resconrec.2019.03.045,circular economy;indicators;sustainability;life cycle thinking
10.1016/j.envres.2017.03.010,sewage sludge;waste management;wastewater treatment plants;lca
10.1016/j.biortech.2016.03.130,biofuels;biobased products;ecofootprints;low carbon technology;circular bioeconomy;life cycle assessment lca
10.1016/j.energy.2017.11.128,municipal solid waste;national waste management plans;waste to energy;anaerobic digestion;composting;pyrolysis
10.1126/sciadv.aat0131,
10.1111/jiec.12545,circular economy;closed looprecycling;economics;industrial ecology;reuse;rebound effect
10.1016/j.rser.2016.09.123,industrial ecology;industrial symbiosis;closedloop;material flow;waste management;resource use
10.1016/j.resconrec.2019.104553,targets;circular economy targets;circular economy governance;circular economy strategies;resource efficiency
10.1016/j.jclepro.2017.09.047,circular economy;closedloop economy;circular economy business models
10.1002/bse.1906,circular business model;business model innovation;customer development;productservice systems;circular economy;remanufacturing
10.1016/j.jclepro.2016.10.196,circular economy;assessment;index methods;micro level;environmental impact
10.1016/j.cie.2018.11.030,sustainable supply chain ssc;closed loop supply chain clsc;enterprise resource planning erp;industry 40;iot;iiot
10.1016/j.jclepro.2019.01.036,business model innovation;circular economy;circularity;sustainability
10.3843/susdev.15.3:6,industrial ecology;ecoindustrial development;ecological modernisation;recycling;capacity building
10.1111/jiec.12763,business model;circular economy;review;supply chain;typology;value creation
10.1108/jmtm-03-2018-0071,advanced manufacturing technology;sustainable production;3d printing;green operations;additive manufacturing;industry 40
10.1016/j.jclepro.2018.10.014,circular economy;circularity indicators;taxonomy;selection tool
10.1016/j.jclepro.2016.12.055,circular economy;built environment;buildings;building design;interdisciplinary research
10.1007/s11625-006-0013-6,circular economy;environmental economics;externalities;sustainability
10.1016/j.jclepro.2014.01.028,sustainable product design;eco design;circular economy;product life extension;life cycle optimization
10.1016/j.jclepro.2018.02.266,clothing;life cycle assessment;lca;circular economy;collaborative consumption;waste management
10.1016/j.jhazmat.2008.08.051,waste printed circuit boards;recycle technology;resource utilization
10.3390/en12060964,fossil fuels;low carbon energy systems;sustainable energy;sustainable development
10.1039/c9cs00047j,
10.1016/j.scitotenv.2018.10.015,plastics;packaging;chemical composition;additive;harmonized hazard data;environment;human health;substitution;nonintentionally added substances nias
10.1016/j.resconrec.2018.04.016,construction and demolition waste;circular economy;recycling;reuse;best practices;environmental management;waste management;waste logistics;recycled aggregates;plasterboard
10.1016/j.biortech.2019.122585,circular economy;bioeconomy;biorefinery;lignocellulosic and algal biomass;waste;lifecycle assessment;technoeconomic analysis
10.1016/j.jclepro.2017.11.064,circular economy;bibliometric study;qualitative content analysis;semantic analysis;research;publications;social networks;factor analysis
10.1016/j.apenergy.2020.114848,industry;emissions;technology;policy;energy;materials
10.1016/j.resconrec.2019.104498,sustainability;circularity metrics;life cycle assessment;lca;validity;products;mfa;recycling
10.1111/jiec.12597,china;circular economy;environmental governance;european union;indicator;industrial ecology
10.1080/03085147.2015.1013353,resource recovery;waste;anaerobic digestion;recycling;circular economies
10.1016/j.resconrec.2016.04.015,circular economy;public procurement;business models;collaboration
10.1016/j.compositesb.2020.108053,polymermatrix composites pmcs;fibrematrix bond;mechanical testing;recycling
10.1016/j.jclepro.2016.08.024,green economy ge;environmental economics;ecological economics;sustainability;substitutability;tradeoffs
10.1016/j.jclepro.2015.06.124,municipal solid waste;bioenergy;combined heat and power;district energy system;business model;industrial park
10.3390/su8010069,circular economy;sustainability;food system;sociotechnical transition
10.1029/2017rg000591,foodwater nexus;few nexus;food security;water security;water sustainability;circular economy
10.1016/j.watres.2017.07.004,antibiotics;accumulation;human health risks;antibioticresistance genes;uptake;reclaimed wastewater irrigation
10.1073/pnas.1613773114,material flow accounting;socioeconomic metabolism;circular economy;carbon emission intensity;manufactured capital
10.1073/pnas.1821029116,climate change;carbon capture and utilization;chemicals;renewable energy;circular economy
10.1016/j.jclepro.2019.04.303,supply chain management;circular economy;circular supply chain;circular supply chain management;sustainable supply chain;sustainability
10.1016/j.jclepro.2019.118531,circular economy;indicator;micro level;sustainability;literature review
10.1016/j.jclepro.2019.05.019,circular economy;performance measurement;systematic literature review;assessment methodology
10.3389/fmicb.2016.02106,circular economy;cradletocradle;resource recovery;waterenergy nexus;biological processes;wastewater treatment
10.1111/jiec.12610,circular economy;closed loop;ecodesign;product design;product durability;remanufacturing
10.1016/j.jenvman.2010.02.013,environmentaloriented supply chain;cooperation;chinese manufacturers;circular economy;empirical study;performance
10.1111/j.1530-9290.2011.00450.x,byproduct synergy;circular economy;complexity;industrial ecology;industrial ecosystem;selforganizing system
10.1111/j.1530-9290.2011.00332.x,ecoefficiency;ecoindustrial parks eips;industrial ecology;industrial symbiosis;kalundborg;kwinana
10.1126/science.1227059,
10.1016/j.resconrec.2020.105064,blockchain;supply chain;sustainability;industry 40;iot;circular economy
10.1080/00207543.2019.1680896,circular economy;circular industry 4;0;digital circular economy;industry 4;0;systematic literature review
10.1016/j.jclepro.2015.02.051,circular economy ce;construction materials;utilization;sewage sludge;sewage sludge ash ssa
10.1016/j.jclepro.2018.11.202,circular economy;sustainability;driver;barrier;business model;sustainable business
10.1080/09537287.2018.1449265,barriers;circular economy ce;circular supply chain management cscm;interpretive structural modelling ism;micmac analysis
10.1039/d0sc01069c,
10.1016/j.biortech.2017.05.097,waste biorefinery;nonfood feedstocks;fuels;circular economy;valueadded products
10.1016/j.jclepro.2020.120112,sustainable supply chain;challenges;industry 40;circular economy;solution measures;best worst method;electre
10.1016/j.resconrec.2017.08.017,circular economy;institutional theory;regulation;norm;culturalcognitive;case study
10.1016/j.resconrec.2017.10.019,circular economy;circularity indicator;bs 8001;3r;material flow analysis;life cycle assessment
10.1016/j.ijinfomgt.2019.03.002,industry 40;circular economy;pca;dematel most likely;dematel pessimistic;dematel optimistic
10.1016/j.jclepro.2017.11.207,cdw;circular economy;life cycle assessment;cleaner production;reuse;recycle
10.1016/j.jaap.2020.104804,pyrolysis;plastic waste;chemical recycling;circular economy;environmental impact
10.3390/su10030639,circular business model;sustainability;servitization;productservice system pss;internet of things;big data  analytics;industry 40;household appliances
10.1080/09537287.2018.1449244,circular economy;closedloop;strategy;structure;relationships
10.1016/j.procir.2017.03.005,circular economy;innovation management;disruptive;radical;integration
10.1038/s41557-019-0226-9,
10.1016/j.jclepro.2018.05.005,circular economy;food packaging;recycling;migration;chemicals of concern;permanent materials
10.3390/su11020391,digitalization;business model innovation;advanced services;digital services;productservice systems pss;sustainability;circular economy;value creation;value capture
10.1016/j.jclepro.2018.12.271,circular economy;sustainable development;operational principles
10.1016/j.techfore.2016.09.021,3d printing;additive manufacturing;circular economy;sustainability;research agenda
10.1016/j.jclepro.2019.05.027,coupling;social economy;ecological environment;chinese provincial capital cities;development model;coordinated development
10.1016/j.resconrec.2017.12.028,circular economy;datadriven analysis method;big datadriven industrial symbiosis;industrial 40
10.3390/su8090937,circular design;design for sustainability;circular business models;circular economy
10.1016/j.techfore.2017.09.010,circular economy;largescale data;bigdata;sustainable operations;sustainability;stakeholders;smart manufacturing
10.1016/j.resconrec.2019.03.024,proenvironmental behavior;determinant;external factor;internal factor
10.1016/j.jclepro.2018.03.031,circular economy;smes;industrial symbiosis;environmental strategy;circular economy implementation
10.1016/j.jbusres.2020.07.044,digital circular economy;digitalization;circular economy;sustainability;industry 40;big data analytics
10.1016/j.biortech.2020.122778,resource recovery;organic solid waste;circular economy;anaerobic digestion;composting
10.1016/j.ijpe.2016.06.008,circular economy;linear supply chain;construction;carbon emissions
10.1080/00207543.2018.1542176,circular economy;circular supply chain;circular business model;circular economy framework;sustainable supply chain;sustainability;closedloop supply chain;household appliances
10.1016/j.jclepro.2020.120728,circular economy;closedloop supply chain;literature review;sustainable supply chain;textile and apparel industry
10.1016/j.jclepro.2019.04.240,energy recovery;resource recovery;sludge reduction;technology readiness level;urban biorefineries;wastewater treatment plants
10.1016/j.jclepro.2009.10.002,teda;ecoindustrial park;industrial symbiosis;china;circular economy;industrial ecology
10.3184/003685018x15294876706211,
10.1002/bse.2466,business models;circular economy;environmental sustainability;sustainable development;systematic literature review
10.1016/j.procir.2016.01.067,circular economy;sustainable manufacturing;product design;6r
10.1016/j.jclepro.2020.121046,circular economy;construction industry;built environment;literature review
10.1016/j.jclepro.2017.11.063,sustainable manufacturing practices;circular economy;sustainability driver;leather industry;graph theory;matrix approach
10.1016/j.jclepro.2015.12.020,resource recovery;circular economy;postconsumer waste;remanufacturing;product design;product study
10.1007/s10311-020-01058-x,chromium;treatment;wastewater;removal;physicochemical technology;electrocoagulation;electrochemical reduction;electrodialysis;photocatalysis;nanotechnology
10.1016/j.jenvman.2020.110500,lithiumion battery;battery recycling;endoflife battery;waste treatments;industrial processes;circular economy
10.1016/j.resconrec.2017.01.013,indicators;circular economy;compatibility;plastic waste;lca
10.1016/j.jclepro.2020.122263,sustainability;sustainable circular economy;smart waste management;maturity model;internet of thing iot;sustainable development goals sdgs;industry 40
10.1080/09537287.2019.1695925,blockchain;circular economy;resolve;case studies
10.1016/j.jclepro.2017.10.003,circular economy;business model;environmental impact;value creation;environmental value proposition
10.1016/j.jclepro.2020.123741,circular business model;business model innovation;sustainable business model;circular economy;review
10.3390/su8070647,circular economy;logistics industry;transition;system change;barriers identification;the netherlands
10.1016/j.jclepro.2012.05.021,enhanced landfill mining;resource recovery;carbon footprint;wastetoenergy;wastetomaterials;biodiversity
10.1016/j.wasman.2008.06.036,
10.1016/j.biortech.2019.122223,nutrients recovery;nutrients cycle;fertilizer industry;biomass;preservation of deposits
10.1016/j.techfore.2018.06.030,circular economy;big data;stakeholder theory;relational view;supply chain management;sustainability
10.1016/j.ijpe.2015.08.031,behavioral operations;perceived value;perceived risk;prospect theory;experiment;structural equation modeling
10.1016/j.bushor.2017.07.003,business model innovation;sustainable fashion;bornsustainable startups;social value creation;slow fashion;upcycling
10.1016/j.jclepro.2016.10.093,circular economy capability;sustainable supply chain;institutional pressure;ecoindustrial park
10.1016/j.gecco.2020.e00902,agriculture waste;circular economy;sustainable development objectives;technological nutrients in agriculture;agrarian environmental technologies;transition to circular economy
10.1016/j.resconrec.2019.104583,operations excellence;sustainable reverse supply chain;industry 40;circular economy;resolve model;familybased scheduling
10.1016/j.jclepro.2019.04.397,smart technologies;energy efficiency;smart sustainable resources;waste management;sustainability;splitech2018
10.1002/bse.1929,remanufacturing;circular economy;consumer behavior;pushpullmooring ppm theory;switching intention;sustainable development
10.1016/j.jclepro.2020.121265,construction and demolition waste management;construction and demolition waste management hierarchy;effective construction and demolition waste management contributing factors;effective construction and demolition waste management
10.1016/j.futures.2016.05.012,circular economy;sharing economy;consumerism;postcapitalism
10.1016/j.jclepro.2015.05.075,environment;sustainability;ecocosts;productservice system;ecoefficient value creation;circular transition framework
10.1016/j.scitotenv.2018.04.134,renewable energy;green building;sustainable transport;green infrastructure;smart technology;waterenergyfood nexus
10.1016/j.resconrec.2018.01.026,potential barrier;circular economy;cd waste management;prioritization;fuzzy topsis
10.1016/j.jclepro.2016.10.130,circular economy;closed loop systems;design for lifecycle;sustainable strategy;sustainable productservice system spss
10.3390/batteries5040068,circular economy;recycling processes;lithiumion battery
10.1016/j.jclepro.2017.12.010,circular economy;industrial ecology;built environment;closed loop supply chain;sustainable innovation;supply chain collaboration
10.1111/jiec.12598,circular economy;flow fund model;industrial ecology;institutional economics;labor;social and solidarity economy
10.1016/j.resconrec.2018.11.020,consumers returnrecycling intention;theory of planned behavior;plastic waste;recycling behavior;reverse logistic
10.1016/j.resconrec.2018.04.013,carbon fibre;glass fibre;reinforced composite;pyrolysis;endoflife;circular economy
10.1111/jiec.12552,circular economy;circularity indicator;circularity measurement;circularity metric;closed loop economy;industrial ecology
10.1016/j.eist.2018.02.001,sustainable business;business model innovation;circular business experimentation;experimentation;transition;lean startup
10.1038/s41893-020-00607-0,
10.1007/s11625-006-0018-1,circular economy;practice in china;legislation
10.1038/s41467-019-11525-x,
10.1016/j.jclepro.2010.06.001,environmental management;china;circular economy;value creation;electronics industry;ecological modernization;supply chain
10.1016/j.resconrec.2019.104634,circular economy;sustainability;public policy
10.5334/aogh.2831,
10.3389/fnut.2018.00121,food packaging;sustainability;biodegradable;biosourced;wastebased
10.1016/j.resconrec.2015.09.016,phosphorus;recovery efficiency;heavy metals;digester supernatant;sewage sludge;sewage sludge ash
10.1016/j.wasman.2020.01.038,recycling;chemical recycling;plastic waste;plastic packaging;recycling rates;circular economy
10.3390/su11061663,sustainable business model;sustainable development;sustainability;business model;review;survey;stateoftheart;climate change;climate protection;global warming;research method;circular economy;sustainable mobility;mitigation;adaptation
10.1016/j.jclepro.2017.09.056,circular economy;implementation;supply chain collaboration;sustainable production;systemic change
10.1002/bse.2554,bibliometrics;business model;circular business model;circular economy;network analysis;sustainable development
10.1016/j.resconrec.2019.01.024,biochar;food waste;pyrolysis processes;value added products from biomass wastes;environmental impacts
10.1016/j.jclepro.2019.119238,construction and demolition waste;material recovery;waste management;circular economy
10.1016/j.biortech.2020.122755,circular economy;bioeconomy;biomass;food waste;anaerobic digestion
10.1016/j.jclepro.2019.118710,circular construction;construction and demolition waste;reuse;recycle;resource recovery
10.1021/acs.est.7b04909,
10.1002/wene.360,life cycle;plastics;politics;pollution;sustainability
10.1016/j.jclepro.2016.05.023,circular economy;managerial indicator;longevity;mobile phone
10.3390/app9163316,additive manufacturing;directed energy deposition;repairing;remanufacturing
10.1016/j.jclepro.2019.03.038,circular economy;green human resource management;human resources;change management;sustainable supply chain
10.1016/j.ecolecon.2018.12.012,circular economy;sustainable development;linear economy;social equity;economic growth;environmental degradation
10.1007/s11192-017-2281-6,circular economy;big data;internet of things;bibliometrics;sustainability;consumer behavior
10.1016/j.scitotenv.2020.136633,energy;hydrogen;waste;biological;fermentation;economical
10.3390/nu11081776,olea europaea l;extravirgin olive oil;olive oil byproducts;olives leaf;phenolic compounds;hydroxytyrosol;oleuropein;oleocanthal;lignans;health effects;circular economy
10.1016/j.procir.2017.02.047,circular economy;digital technologies;digitization;productservicesystems
10.1007/s10668-016-9760-4,water governance capacities;sustainability transitions;urban agenda;smart cities;city blueprints;circular economy;habitat iii
10.1038/d41586-019-00017-z,
10.1007/s00253-018-9226-8,mushroom;edible mushroom;fungus;spent mushroom substrate;circular economy;mycelium material
10.1016/j.cogsc.2019.12.005,
10.1016/j.scitotenv.2018.02.330,circular economy;plastic packaging;recycling;resource recovery;technical implications;waste
10.1016/j.watres.2018.11.020,biofilms;extracellular polymeric substances;function;analysis;biophysics;identity
10.1039/c6gc00501b,
10.1016/j.wasman.2018.09.047,iotenabled waste management;sustainable and smart cities;circular economy;product lifecycle data
10.1016/j.resconrec.2018.05.026,reverse logistics rl;closedloop supply chain clsc;waste electrical and electronic equipment weee;ewaste management;literature review;sustainability;circular economy
10.1016/j.jclepro.2015.07.133,sharing cities;sharing economy;collaborative economy;circular economy;sustainable consumption and production;maker movement
10.1016/j.jclepro.2019.118198,smart enabling technologies;internet of things;iot;smart waste management;circular economy;circular supply chain management
10.1080/09537287.2018.1449246,circular economy;exploratory;practices;barriers;awareness
10.1039/c4gc02483d,
10.1016/j.resconrec.2020.104917,circular economy;circular society;sustainability;discourse analysis;critical literature review
10.1016/j.procs.2018.07.193,blockchain;agriculture supply chain;smart contract;circular economy;multiagent system
10.1016/j.scitotenv.2020.136998,green chemistry principle;chemical management system;circular economy;pas principle
10.3390/su9010141,radical innovation;insects as feed;recycling;food sector
10.3390/ma13214994,food packaging;bioplastics;polylactic acid;biodegradable;composites
10.1016/j.jenvman.2020.110445,construction and demolition waste management;urbanization;circular economy;policies
10.1039/c8gc03688h,
10.1016/j.resconrec.2018.09.029,construction and demolition waste;sustainable development;science mapping;waste management;scientometric analysis;literature review
10.3390/su9091602,circular economy;literature review;sustainable supply chains;closedloop supply chains;industrial ecology
10.1111/jiec.12562,circular economy;consumptionbased accounting;industrial ecology;multiregional inputoutput;municipal solid waste;waste inputoutput
10.1039/c8cs00543e,
10.1016/j.polymdegradstab.2019.05.014,polylactide;circular economy;endoflife;catalysis
10.1016/j.jclepro.2017.12.168,backcasting;circular economy;ecodesign;service sector;resource efficiency;sustainable business models
10.1016/j.scitotenv.2020.137317,textile;fashion industry;circular economy;sustainability
10.1016/j.wasman.2019.06.035,digitalisation;intelligent robotics;waste management;circular economy;industry 40;internet of things;rewaste40;waste treatment;smart waste factory
10.1016/j.biortech.2017.08.025,anaerobic digestion sludge;biochar;heavy metals removal
10.1108/ijoa-04-2020-2120,literature review;industry 4;0;sustainable manufacturing;circular economy;resourcebased view theory
10.3390/su10082758,literature review;sustainable consumption;circular economy;product service systems;sharing economy;collaborative consumption;remanufacturing
10.1016/j.wasman.2017.10.033,plastic;packaging;recycling;quality;quantity;waste
10.1111/jiec.12747,circular economy;decoupling;industrial ecology;life cycle thinking;productservice system pss;rebound effect
10.1016/j.jclepro.2018.06.015,circular economy;green supply chain management;gscm framework;performance measures
10.1016/j.procir.2018.04.027,circular economy;business models;digitalisation;qualitatative study
10.1016/j.pcrysgrow.2018.03.001,solution combustion synthesis;energy and environment;ecofriendly procedures;materials optimization;synthesis parameters;fuel types;fuel amount;wastederived fuels;mixed fuels;reproducibility;microstructural templates
10.1016/j.resconrec.2017.10.026,building information modelling bim;wholelife performance profile;building materials;endoflife;circular economy
10.3390/su9101810,circular economy;circular business models;business model innovation;resource efficiency;product life extension;product life cycle
10.1080/15583724.2019.1673406,thermoset;recycling;polymer matrix;dynamic covalent crosslinks;circular economy
10.1016/j.scitotenv.2018.04.150,municipal solid waste;incineration;fly ash;air pollution control residues;recovery;toxic metals
10.1016/j.jclepro.2015.11.065,refurbishment;circular economy;consumer behavior;consumer decision making;mobile phones;remanufacturing
10.1108/md-11-2018-1178,emerging economy;manufacturing;barriers;automobile;drivers;circular economy
10.1088/1748-9326/ab0fe3,circular economy;climate change mitigation;life cycle assessment;industrial policy;resource efficiency;cement;iron and steel
10.1111/gcb.14321,animal source food;greenhouse gas emissions;land boundary;land use;leftovers;livestock;recycling biomass;sustainable consumption;sustainable development goals
10.1016/j.jclepro.2017.10.078,inorganic polymer;porosity;adsorption;waste;dye
10.1111/jiec.12606,
10.1016/j.resconrec.2014.04.002,questionnaire survey;circular economy;firm awareness;firm behavior;china
10.1080/09537287.2017.1343502,circular supply chain;circular economy;sustainability perspectives of supply chains;restorative processes
10.1016/j.jclepro.2016.12.038,
10.1016/j.jclepro.2020.124063,industry 40;smes;challenges;dematel;ethical and sustainable business;circular economy
10.1007/s11625-017-0502-9,circular economy;resource efficiency;policy
10.1007/s42452-020-2195-4,endoflife;carbon fibre;glass fibre;recycling technologies;lifecycle loop;circular economy
10.1016/j.eist.2017.03.002,circular economy;cities;transitions;sustainability;sharing economy;urban environmentalism
10.1039/d0gc01394c,
10.1016/j.rser.2020.109948,circular economy;construction industry;industrial ecology;life cycle assessment;challenges;prospective framework
10.1016/j.resconrec.2019.104507,circular economy;adaptive reuse;cultural heritage;sustainability;urban planning;buildings
10.1002/bse.2048,csr report;food and beverage;household;packaging;sustainable development;textile
10.1016/j.jclepro.2017.09.260,circular economy;industrial symbiosis;industrial ecology;bibliometric analysis
10.1021/acs.est.8b07032,
10.1016/j.jclepro.2018.10.357,circular economy;circular economy metrics;mca;industrial ecology;indicator system;resource efficiency;transition
10.1016/j.jenvman.2018.09.095,circular economy;developing countries;european framework;recycling behavior;solid waste management;sustainability
10.1016/j.jclepro.2017.11.111,circular economy;ecoinnovation;sustainability transition;sustainable development;clean congruence
10.1016/j.jclepro.2010.09.018,circular economy;leather tannery;waste;ecological utilization
10.1016/j.aei.2019.100973,productservice systems;servitization;digitalization;value cocreation;circular economy;review
10.1016/j.jclepro.2019.118605,behaviour change;household waste;municipal waste management;recycling behaviour;social factors;waste separation
10.1016/j.biortech.2019.122497,circular bioeconomy;food recyclingvalorisation;sustainable waste management;life cycle assessment;biobased chemicalsproducts
10.1016/j.jclepro.2019.117629,construction and demolition waste;recycled aggregates;case studies;road pavement construction;concrete
10.1016/j.resconrec.2017.07.031,weee;critical metals;secondary source;printed circuit boards pcb;liquid crystal displays lcd;hard disc drives hdd
10.1016/j.jclepro.2019.117805,industry 40;virtual reality;augmented reality;internet of things;cyberphysical systems;smart remanufacturing
10.1016/j.biortech.2020.123036,agricultural waste;anaerobic digestion;biogas upgrading;biomethane;circular economy
10.1016/j.jclepro.2019.05.044,circular economy;business model;driver to environmental practice;green economy;green companies
10.1016/j.mimet.2019.105656,nanoparticles;algae;green chemistry;microbial synthesis;physicochemical properties
10.1111/jiec.12590,business model innovation;circular economy;closedloop supply chain;industrial ecology;productservice systems;resource efficiency
10.1016/j.jclepro.2016.06.018,food waste;circular economy;youths;theory of planned behaviour;plssem
10.1021/es201904c,
10.1016/j.jclepro.2020.121602,distributed recycling;plastic recycling;additive manufacturing;3d printing;circular economy
10.1016/j.jclepro.2019.117696,circular economy;circular business models;classification frameworks;archetypes;literature review
10.1016/j.jbusres.2019.01.006,business models;sustainability;servitization;industrial ecosystems;productservice system;circular economy;ecosystem;interorganizational relationships;orchestration
10.1016/j.spc.2017.11.003,distribution and occurrence of microplastics;environmental effects;legislation;reducereuserecycle circular economy
10.1039/d0gc02630a,
10.1016/j.scitotenv.2019.136033,biorefinery;circular bioeconomy;food waste;minimization of residues;policy;strong sustainability
10.1016/j.heliyon.2019.e01866,energy;lithiumion battery;battery recycling;battery electric vehicle;circular economy
10.1002/bse.2246,circular economy;ecoinnovation;resourcebased view;small and mediumsize enterprises;spain;sustainability transition
10.1016/j.resconrec.2017.08.002,recycling;justintime manufacturing;diversification;dematerialization;firm strategy;business cases
10.1016/j.resconrec.2013.10.003,regional circular economy;efficiency measurement;data envelopment analysis dea;window analysis;china
10.1002/aenm.202003456,energy storage;green chemistry;li ion batteries;recycling;renewable materials;sustainable processes;valorization
10.1016/j.ecolecon.2017.11.001,resource efficiency;circular economy;policy frameworks;policy mixes;resource policy;system of economic incentives
10.1007/s11783-018-1037-8,anaerobic digestion;biogas;biowastes;solid waste;manure;industrial waste
10.1016/j.cogsc.2017.07.007,
10.1111/jiec.12506,circular economy;closedloop;industrial ecology;material flow analysis;municipal solid waste;openloop
10.1016/j.jclepro.2019.118528,circular economy;business model innovation;sustainable development;startup;circular business models;naturebased solutions
10.1111/jscm.12248,panarchy;adaptive cycle;dancing;social ecological system;social ecological resilience;transformative management
10.1080/09669582.2019.1619748,sustainable development goals sdgs;critical thinking;gender;indigenous perspectives;degrowth;circular economy;governance;ethical consumption
10.3390/catal6120196,levulinic acid;acid catalysts;sugars;raw and waste biomass;water;organic solvents
10.1016/j.jenvman.2020.110416,sustainable innovation;sustainable business models;circular economy;stakeholders;sustainable performance
10.1016/j.resconrec.2020.105010,chemical recycling;life cycle assessment;circular economy;plastic waste;plastic waste treatment
10.1088/1748-9326/ab8659,municipal solid waste;environmental impacts of waste;compositional data;global future projections;circular economy
10.1016/j.jclepro.2019.118160,circular economy;circular business models;circular business model innovation;barriers;multiplecase study
10.1016/j.jclepro.2019.118360,circular economy;circular design;reduction;repair;reuse;recover;remanufacturing;recycling
10.1021/acsomega.7b01648,
10.1016/j.rser.2020.109876,circular bioeconomy;biomass valorization;biorefinery;energyintensive;market dynamics
10.1016/j.resconrec.2019.104669,critical minerals;material flow analysis;scenario;circular economy;life cycle;energy technology
10.1016/j.wasman.2019.06.038,contamination;quality;circular economy;material flow analysis;recycling efficiency;sampling
10.1016/j.watres.2018.10.092,microbial electrochemical technology;bioelectrochemical system;carbon valorization;microbial electrosynthesis;electrofermentation
10.1177/0309132514566342,circular economy;materialities;product service system;prosumer
10.1016/j.jclepro.2020.120859,circular economy;circular supply chain;cscm;content analysis;sustainability
10.1007/s40558-019-00160-3,smart tourism;smart destination;digital traveler;tourism innovation;tourism 4;0;tourism ecosystem
10.1016/j.resconrec.2018.09.016,industrial symbiosis;circular economy;networks;sustainable manufacturing
10.1016/j.watres.2018.07.020,vivianite;sewage sludge;phosphate recovery;mossbauer spectroscopy;xrd
10.1016/j.jclepro.2017.10.046,sustainability;circular economy;industrial symbiosis;resource efficiency;supply chain;collaboration
